0,-120.0284096
0.024,-120.0284096
0.048,-120.0284096
0.072,-120.0284128
0.096,-120.1017135
0.12,-120.2900559
0.144,-120.2900723
0.168,-120.2900723
0.192,-120.2900723
0.216,-120.2900723
0.24,-120.2900723
0.264,-120.2900734
0.288,-120.5018837
0.312,-120.5515732
0.336,-120.5517349
0.36,-120.5517482
0.384,-120.8138726
0.408,-120.6004898
0.432,-121.3324416
0.456,-121.3367227
0.48,-121.3357727
0.504,-121.5984237
0.528,-121.5984777
0.552,-121.3353907
0.576,-121.3367228
0.6,-121.3363773
0.624,-120.8176507
0.648,-120.5530278
0.672,-120.8061033
0.696,-120.2653226
0.72,-120.2900695
0.744,-120.2551975
0.768,-119.7693802
0.792,-119.2446986
0.816,-118.4512306
0.84,-117.4143299
0.864,-115.3641541
0.888,-111.3759712
0.912,-106.2377889
0.936,-92.43617876
0.96,-70.19563112
0.984,-38.14605132
1.008,16.48217647