5.55E-17,150.848952
0.02,150.785415
0.04,150.6619008
0.06,150.6551708
0.08,150.6523384
0.1,150.4754081
0.12,150.2535944
0.14,150.0727296
0.16,150.0245832
0.18,149.8848893
0.2,149.7295313
0.22,149.6705675
0.24,149.6363811
0.26,149.4076437
0.28,148.9114535
0.3,149.1851827
0.32,148.7301701
0.34,148.4620266
0.36,148.3300898
0.38,148.1241986
0.4,147.5714257
0.42,147.5695551
0.44,147.3238128
0.46,147.2096055
0.48,147.1613723
0.5,146.7781748
0.52,148.1012717
0.54,147.9369904
0.56,149.5037602
0.58,149.5141472
0.6,149.0926859
0.62,148.6928934
0.64,148.5258454
0.66,148.1321524
0.68,147.6513328
0.7,147.3632603
0.72,146.9767303
0.74,146.3995909
0.76,145.8138962
0.78,144.8632103
0.8,143.869781
0.82,142.7368506
0.84,141.561968
0.86,140.0044187
0.88,137.6761396
0.9,134.1590106
0.92,127.9582738
0.94,117.2722546
0.96,97.85568531
0.98,63.21962616