0.02,-0.136953866
0.04,-0.136094907
0.06,-0.135978017
0.08,-0.13588369
0.1,-0.136639088
0.12,-0.13683026
0.14,-0.137241273
0.16,-0.136757596
0.18,-0.136843947
0.2,-0.136648654
0.22,-0.136932802
0.24,-0.135920916
0.26,-0.136378895
0.28,-0.134955279
0.3,-0.136116681
0.32,-0.135795549
0.34,-0.136151531
0.36,-0.134956861
0.38,-0.13513632
0.4,-0.134958017
0.42,-0.135692096
0.44,-0.135241619
0.46,-0.136112286
0.48,-0.135789732
0.5,-0.136094362
0.52,-0.134753544
0.54,-0.135531782
0.56,-0.13438706
0.58,-0.134677433
0.6,-0.133512954
0.62,-0.134555511
0.64,-0.132955533
0.66,-0.133631751
0.68,-0.13209133
0.7,-0.132324543
0.72,-0.130257302
0.74,-0.129909377
0.76,-0.126383155
0.78,-0.121576439
0.8,-0.113935438
0.82,-0.100234926
0.84,-0.071393591
0.86,-0.023204122