-5.55E-17,137.8702075
0.022,137.2573499
0.044,137.3788249
0.066,137.3653511
0.088,137.4923724
0.11,137.7463852
0.132,137.1635381
0.154,137.866484
0.176,137.2440288
0.198,137.8702126
0.22,137.2390602
0.242,137.8700286
0.264,137.2949715
0.286,137.4664479
0.308,136.7477507
0.33,136.8732158
0.352,136.0963042
0.374,136.7270773
0.396,136.8357977
0.418,137.011536
0.44,137.9923594
0.462,137.1129705
0.484,137.4378384
0.506,137.2530346
0.528,136.8132091
0.55,138.1351115
0.572,136.7343491
0.594,137.513818
0.616,136.760331
0.638,137.4905021
0.66,136.6438119
0.682,137.1178411
0.704,136.8598067
0.726,136.3020855
0.748,137.3761766
0.77,137.0643603
0.792,137.6190151
0.814,136.2237279
0.836,136.3674319
0.858,135.2169533
0.88,135.3645255
0.902,134.1031627
0.924,133.3927172
0.946,131.1053714
0.968,125.308854
0.99,120.010001
1.012,103.6935732
1.034,83.49622581
1.056,39.36949062
1.078,7.460569273