0,-123.0606851
0.02,-123.0607144
0.04,-123.298168
0.06,-123.3743381
0.08,-123.3743761
0.1,-123.3743761
0.12,-123.3743761
0.14,-123.3743761
0.16,-123.3743761
0.18,-123.3743761
0.2,-123.3743761
0.22,-123.3743761
0.24,-123.3743761
0.26,-123.3743754
0.28,-123.3737835
0.3,-123.9996137
0.32,-124.0017554
0.34,-124.0017581
0.36,-124.0017581
0.38,-124.0017581
0.4,-124.0017581
0.42,-124.0017581
0.44,-124.0017496
0.46,-123.7309572
0.48,-123.6904546
0.5,-123.3722769
0.52,-123.3743752
0.54,-123.3743761
0.56,-123.374376
0.58,-123.3743741
0.6,-123.0464687
0.62,-122.7473435
0.64,-122.7469444
0.66,-122.6006029
0.68,-122.1204089
0.7,-121.7922625
0.72,-121.4917825
0.74,-120.8684709
0.76,-120.2951357
0.78,-118.9236307
0.8,-117.4250198
0.82,-115.0384193
0.84,-110.9815591
0.86,-104.1539568
0.88,-89.99159363
0.9,-68.50917986
0.92,-33.43915783